dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sload,dload,ct_src_dport_ltm,ct_dst_sport_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,attack_cat,label
1e-06,unas,-,INT,2,0,200,0,1e+06,8e+08,0.0,1,1,0,0,0,Analysis,1
4e-06,unas,-,INT,2,0,200,0,250000.0,2e+08,0.0,2,2,0,0,0,Analysis,1
3e-06,gmtp,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,pnni,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,3,3,0,0,0,Analysis,1
6e-06,unas,-,INT,2,0,200,0,166666.66,1.3333333e+08,0.0,3,3,0,0,0,Analysis,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,3,3,0,0,0,Analysis,1
6e-06,unas,-,INT,2,0,200,0,166666.66,1.3333333e+08,0.0,3,3,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,3,3,0,0,0,Analysis,1
3e-06,sep,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,1,1,0,0,0,Backdoor,1
8e-06,pgm,-,INT,2,0,200,0,125000.0,1e+08,0.0,3,3,0,0,0,Backdoor,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,1,1,0,0,0,Analysis,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,3,3,0,0,0,Analysis,1
3e-06,idpr-cmtp,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,1,1,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,3,3,0,0,0,Backdoor,1
8e-06,zero,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,6,6,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,6,6,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Analysis,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,6,6,0,0,0,Backdoor,1
7.200432,rvd,-,INT,4,0,400,0,0.416642,333.31335,0.0,3,3,0,0,0,Backdoor,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,5,5,0,0,0,Backdoor,1
8e-06,mobile,-,INT,2,0,200,0,125000.0,1e+08,0.0,3,3,0,0,0,Backdoor,1
7e-06,narp,-,INT,2,0,200,0,142857.14,1.1428571e+08,0.0,3,3,0,0,0,Backdoor,1
7e-06,unas,-,INT,2,0,200,0,142857.14,1.1428571e+08,0.0,4,4,0,0,0,Analysis,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,3,3,0,0,0,Analysis,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,4,4,0,0,0,Backdoor,1
8e-06,fc,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,3,3,0,0,0,Backdoor,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,3,3,0,0,0,Analysis,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,pipe,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,3,3,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,3,3,0,0,0,Backdoor,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,3,3,0,0,0,Backdoor,1
5e-06,unas,-,INT,2,0,200,0,200000.0,1.6e+08,0.0,3,3,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Analysis,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,3,3,0,0,0,Analysis,1
1e-06,unas,-,INT,2,0,200,0,1e+06,8e+08,0.0,1,1,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,6,6,0,0,0,Analysis,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,2,2,0,0,0,Analysis,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Analysis,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,5,5,0,0,0,Analysis,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,3,3,0,0,0,Analysis,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,2,2,0,0,0,Backdoor,1
5e-06,unas,-,INT,2,0,200,0,200000.0,1.6e+08,0.0,2,2,0,0,0,Backdoor,1
0.283214,tcp,http,FIN,10,6,624,268,52.96348,15874.921,6327.3706,1,1,0,0,1,Backdoor,1
0.67547,tcp,ftp,FIN,12,12,2616,682,34.050365,28400.965,7414.0967,2,1,0,0,0,Fuzzers,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,3,3,0,0,0,Analysis,1
6e-06,unas,-,INT,2,0,200,0,166666.66,1.3333333e+08,0.0,3,3,0,0,0,Backdoor,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,4,4,0,0,0,Backdoor,1
5e-06,unas,-,INT,2,0,200,0,200000.0,1.6e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
0.758792,tcp,ftp,FIN,12,12,1592,682,30.311338,15392.888,6599.9644,1,1,0,0,0,Fuzzers,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,4,4,0,0,0,Backdoor,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,3,3,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,3,3,0,0,0,Backdoor,1
55.96858,tcp,ftp,FIN,28,24,1560,1364,0.911226,215.1207,186.96205,1,1,2,2,0,Fuzzers,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,3,3,0,0,0,Backdoor,1
8e-06,ipcomp,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,ipv6-no,-,INT,2,0,200,0,125000.0,1e+08,0.0,1,1,0,0,0,Backdoor,1
8e-06,sat-expak,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
5e-06,ipv6-opts,-,INT,2,0,200,0,200000.0,1.6e+08,0.0,2,2,0,0,0,Backdoor,1
1.210288,tcp,ftp,FIN,14,12,810,682,20.65624,4977.3276,4137.858,1,1,1,1,0,Fuzzers,1
4e-06,unas,-,INT,2,0,200,0,250000.0,2e+08,0.0,3,3,0,0,0,Backdoor,1
2e-06,snp,-,INT,2,0,200,0,500000.0,4e+08,0.0,1,1,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,3,3,0,0,0,Analysis,1
3e-06,ipcv,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,br-sat-mon,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Analysis,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,3,3,0,0,0,Analysis,1
6e-06,ttp,-,INT,2,0,200,0,166666.66,1.3333333e+08,0.0,2,2,0,0,0,Backdoor,1
3e-06,tcf,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,ospf,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
3e-06,nsfnet-igp,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,1,1,0,0,0,Backdoor,1
5e-06,sprite-rpc,-,INT,2,0,200,0,200000.0,1.6e+08,0.0,2,2,0,0,0,Backdoor,1
5e-06,aes-sp3-d,-,INT,2,0,200,0,200000.0,1.6e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,sccopmce,-,INT,2,0,200,0,125000.0,1e+08,0.0,1,1,0,0,0,Backdoor,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,2,2,0,0,0,Backdoor,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,4,4,0,0,0,Analysis,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,4,4,0,0,0,Analysis,1
8e-06,sctp,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
3e-06,qnx,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,2,2,0,0,0,Backdoor,1
3e-06,scps,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,2,2,0,0,0,Backdoor,1
3e-06,etherip,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,2,2,0,0,0,Backdoor,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,4,4,0,0,0,Analysis,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,4,4,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,4,4,0,0,0,Backdoor,1
9e-06,aris,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,1,1,0,0,0,Backdoor,1
5e-06,unas,-,INT,2,0,200,0,200000.0,1.6e+08,0.0,2,2,0,0,0,Backdoor,1
3e-06,pim,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,4,4,0,0,0,Backdoor,1
8e-06,compaq-peer,-,INT,2,0,200,0,125000.0,1e+08,0.0,1,1,0,0,0,Backdoor,1
5e-06,unas,-,INT,2,0,200,0,200000.0,1.6e+08,0.0,4,4,0,0,0,Backdoor,1
6e-06,unas,-,INT,2,0,200,0,166666.66,1.3333333e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,vrrp,-,INT,2,0,200,0,125000.0,1e+08,0.0,3,3,0,0,0,Backdoor,1
8e-06,iatp,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
2e-06,stp,-,INT,2,0,200,0,500000.0,4e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,l2tp,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
5e-06,srp,-,INT,2,0,200,0,200000.0,1.6e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,sm,-,INT,2,0,200,0,125000.0,1e+08,0.0,1,1,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,3,3,0,0,0,Backdoor,1
8e-06,isis,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,1,1,0,0,0,Backdoor,1
5e-06,smp,-,INT,2,0,200,0,200000.0,1.6e+08,0.0,1,1,0,0,0,Backdoor,1
4e-06,unas,-,INT,2,0,200,0,250000.0,2e+08,0.0,3,3,0,0,0,Backdoor,1
1e-06,fire,-,INT,2,0,200,0,1e+06,8e+08,0.0,1,1,0,0,0,Backdoor,1
3e-06,ptp,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,2,2,0,0,0,Backdoor,1
7e-06,unas,-,INT,2,0,200,0,142857.14,1.1428571e+08,0.0,1,1,0,0,0,Analysis,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,2,2,0,0,0,Backdoor,1
3e-06,crtp,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,2,2,0,0,0,Backdoor,1
1e-06,unas,-,INT,2,0,200,0,1e+06,8e+08,0.0,1,1,0,0,0,Analysis,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Analysis,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,1,1,0,0,0,Analysis,1
5e-06,sps,-,INT,2,0,200,0,200000.0,1.6e+08,0.0,2,2,0,0,0,Backdoor,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,2,2,0,0,0,Backdoor,1
7e-06,unas,-,INT,2,0,200,0,142857.14,1.1428571e+08,0.0,4,4,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,2,2,0,0,0,Analysis,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,1,1,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,3,3,0,0,0,Analysis,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
5e-06,unas,-,INT,2,0,200,0,200000.0,1.6e+08,0.0,3,3,0,0,0,Analysis,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Analysis,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,3,3,0,0,0,Analysis,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,3,3,0,0,0,Backdoor,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,3,3,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,1,1,0,0,0,Analysis,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,1,1,0,0,0,Backdoor,1
4e-06,unas,-,INT,2,0,200,0,250000.0,2e+08,0.0,3,3,0,0,0,Analysis,1
0.232816,tcp,-,FIN,10,6,520,268,64.428566,16081.369,7697.0654,3,1,0,0,0,Fuzzers,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,3,3,0,0,0,Analysis,1
0.414332,tcp,-,FIN,10,6,604,268,36.20285,10503.654,4325.034,1,1,0,0,0,Fuzzers,1
1e-06,unas,-,INT,2,0,200,0,1e+06,8e+08,0.0,1,1,0,0,0,Backdoor,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,3,3,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,1,1,0,0,0,Analysis,1
7e-06,unas,-,INT,2,0,200,0,142857.14,1.1428571e+08,0.0,1,1,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
0.765948,tcp,ftp,FIN,14,12,750,682,32.639294,7279.8677,6538.3027,1,1,1,1,0,Fuzzers,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,1,1,0,0,0,Backdoor,1
5e-06,unas,-,INT,2,0,200,0,200000.0,1.6e+08,0.0,2,2,0,0,0,Analysis,1
0.96005,tcp,ftp,FIN,14,12,750,682,26.040312,5808.031,5216.395,1,1,1,1,0,Fuzzers,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Analysis,1
9e-06,merit-inp,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,1,1,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,3,3,0,0,0,Backdoor,1
3e-06,idpr,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,1,1,0,0,0,Backdoor,1
6e-06,unas,-,INT,2,0,200,0,166666.66,1.3333333e+08,0.0,3,3,0,0,0,Backdoor,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,3,3,0,0,0,Backdoor,1
0.394325,tcp,-,FIN,10,6,534,268,38.03969,9758.448,4544.475,1,1,0,0,0,Fuzzers,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,3,3,0,0,0,Backdoor,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,2,2,0,0,0,Analysis,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,1,1,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,3,3,0,0,0,Analysis,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,6,6,0,0,0,Analysis,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,6,6,0,0,0,Backdoor,1
9e-06,skip,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,2,2,0,0,0,Backdoor,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,2,2,0,0,0,Analysis,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
8e-06,any,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
31.56226,tcp,-,FIN,20,12,2216,536,0.982186,533.80206,124.7059,3,3,0,0,0,Fuzzers,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,4,4,0,0,0,Backdoor,1
0.390183,tcp,-,FIN,10,6,2558,268,38.4435,47218.867,4592.717,1,1,0,0,0,Fuzzers,1
0.242112,tcp,-,FIN,10,6,532,268,61.9548,15827.386,7401.533,3,1,0,0,0,Fuzzers,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,6,6,0,0,0,Analysis,1
41.066822,tcp,-,FIN,20,12,1670,536,0.754867,309.15466,95.843796,4,3,0,0,0,Fuzzers,1
9e-06,any,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,2,2,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,4,4,0,0,0,Backdoor,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,4,4,0,0,0,Backdoor,1
3e-06,udp,-,INT,2,0,104,0,333333.3,1.3866666e+08,0.0,1,1,0,0,0,Fuzzers,1
31.519764,tcp,-,FIN,20,12,1302,536,0.98351,313.96173,124.87403,4,3,0,0,0,Fuzzers,1
0.373618,tcp,-,FIN,10,6,892,268,40.147957,17194.031,4796.343,1,1,0,0,0,Fuzzers,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,3,3,0,0,0,Analysis,1
1.444385,tcp,ftp,FIN,14,12,810,682,17.308405,4170.633,3467.2195,1,1,1,1,0,Fuzzers,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,5,5,0,0,0,Analysis,1
0.31597,tcp,-,FIN,10,6,518,268,47.472862,11823.907,5671.4243,2,1,0,0,0,Fuzzers,1
7e-06,unas,-,INT,2,0,200,0,142857.14,1.1428571e+08,0.0,4,4,0,0,0,Backdoor,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,4,4,0,0,0,Analysis,1
9e-06,unas,-,INT,2,0,200,0,111111.11,8.888889e+07,0.0,3,3,0,0,0,Backdoor,1
3e-06,unas,-,INT,2,0,200,0,333333.3,2.6666666e+08,0.0,3,3,0,0,0,Backdoor,1
8e-06,unas,-,INT,2,0,200,0,125000.0,1e+08,0.0,2,2,0,0,0,Backdoor,1
0.645937,tcp,-,FIN,10,6,766,268,23.222078,8545.725,2774.2642,1,1,0,0,0,Fuzzers,1
1.407269,tcp,ftp,FIN,14,12,810,682,17.764906,4280.6313,3558.6658,1,1,1,1,0,Fuzzers,1
31.56226,tcp,-,FIN,20,12,2216,536,0.982186,533.80206,124.7059,3,3,0,0,0,Fuzzers,1
0.36213,tcp,-,FIN,10,6,610,268,41.421593,12128.241,4948.4995,2,1,0,0,0,Fuzzers,1
5e-06,unas,-,INT,2,0,200,0,200000.0,1.6e+08,0.0,2,2,0,0,0,Analysis,1
